scenario_id,ri_key,profile,algorithm,success,failure_reason,delivered,objective,travel_time_min,distance_m,flood_exposure,landslide_exposure,blockage_exposure,risk_exposure,common_risk_exposure,hops,replan_count,visit_order,wall_time_ms
eval_main_RI2_00205,RI2,fast,Greedy-Time-SoftPenalty,1,,5,368.484634,76.615194,28992.748983,0.0,4.046731,24.983177,27.006543,27.006543,217,0,3801835642|2101075680|3530273586|9113120994|312171780,45.5133
eval_main_RI2_00205,RI2,fast,Greedy-HazardAware,1,,5,368.484634,76.615194,28992.748983,0.0,4.046731,24.983177,27.006543,27.006543,217,0,3801835642|2101075680|3530273586|9113120994|312171780,38.398
eval_main_RI2_00205,RI2,fast,Macro-DP-Oracle,1,,5,318.426459,65.511768,24095.818528,0.0,3.478554,24.983177,26.722455,26.722455,157,0,9113120994|2101075680|3801835642|3530273586|312171780,0.041
eval_main_RI2_00205,RI2,fast,Macro-DQN,1,,5,318.426459,65.511768,24095.818528,0.0,3.478554,24.983177,26.722455,26.722455,157,0,9113120994|2101075680|3801835642|3530273586|312171780,39.0447
eval_main_RI2_00206,RI2,fast,Greedy-Time-Base,1,,5,539.212089,94.391359,19170.99292,0.0,4.452319,117.661987,119.888147,119.888147,129,0,3802907771|3802918079|3804451136|3806284084|6366972384,30.2844
eval_main_RI2_00206,RI2,fast,Greedy-Time-SoftPenalty,1,,5,323.876889,64.235553,21573.873475,0.0,2.680843,36.664478,38.004899,38.004899,139,0,3802907771|3802918079|3804451136|3806284084|6366972384,31.7923
eval_main_RI2_00206,RI2,fast,Greedy-HazardAware,1,,5,323.876889,64.235553,21573.873475,0.0,2.680843,36.664478,38.004899,38.004899,139,0,3802907771|3802918079|3804451136|3806284084|6366972384,37.4707
eval_main_RI2_00206,RI2,fast,Macro-DP-Oracle,1,,5,322.570562,63.949619,21442.343655,0.0,2.680843,36.664478,38.004899,38.004899,135,0,3802907771|3804451136|3806284084|3802918079|6366972384,0.0531
eval_main_RI2_00206,RI2,fast,Macro-DQN,1,,5,323.876889,64.235553,21573.873475,0.0,2.680843,36.664478,38.004899,38.004899,139,0,3802907771|3802918079|3804451136|3806284084|6366972384,44.7649
eval_main_RI2_00207,RI2,fast,Greedy-Time-Base,1,,5,780.291214,147.52745,40958.475483,0.0,10.633151,119.525237,124.841812,124.841812,209,0,7904547318|9110526969|8142404606|9112363924|7927210504,64.0397
eval_main_RI2_00207,RI2,fast,Greedy-Time-SoftPenalty,1,,5,588.258112,120.180075,42931.025396,0.0,7.603371,49.991193,53.792878,53.792878,222,0,7904547318|9110526969|8142404606|9112363924|7927210504,60.6413
eval_main_RI2_00207,RI2,fast,Greedy-HazardAware,1,,5,588.258112,120.180075,42931.025396,0.0,7.603371,49.991193,53.792878,53.792878,222,0,7904547318|9110526969|8142404606|9112363924|7927210504,60.3754
eval_main_RI2_00207,RI2,fast,Macro-DP-Oracle,1,,5,545.165138,109.756665,37273.494449,0.0,8.076155,53.48431,57.522388,57.522388,156,0,7927210504|7904547318|9110526969|8142404606|9112363924,0.0506
eval_main_RI2_00207,RI2,fast,Macro-DQN,1,,5,563.707567,114.796901,40904.665843,0.0,6.363542,49.991193,53.172964,53.172964,213,0,8142404606|9112363924|9110526969|7904547318|7927210504,52.1206
eval_main_RI2_00208,RI2,fast,Greedy-Time-Base,1,,5,459.701968,92.944304,32357.141078,0.0,5.900941,43.406173,46.356644,46.356644,172,0,3530013076|1251436647|5223364665|9112383189|3802785485,47.3257
eval_main_RI2_00208,RI2,fast,Greedy-Time-SoftPenalty,1,,5,435.53367,90.257043,33528.221364,0.0,5.508466,31.515267,34.2695,34.2695,154,0,3530013076|3802785485|9112383189|5223364665|1251436647,38.8523
eval_main_RI2_00208,RI2,fast,Greedy-HazardAware,1,,5,460.889808,95.892097,36120.346137,0.0,5.508466,31.515267,34.2695,34.2695,194,0,3530013076|5223364665|9112383189|3802785485|1251436647,40.7214
eval_main_RI2_00208,RI2,fast,Macro-DP-Oracle,1,,5,435.53367,90.257043,33528.221364,0.0,5.508466,31.515267,34.2695,34.2695,154,0,3530013076|3802785485|9112383189|5223364665|1251436647,0.0468
eval_main_RI2_00208,RI2,fast,Macro-DQN,1,,5,435.53367,90.257043,33528.221364,0.0,5.508466,31.515267,34.2695,34.2695,154,0,3530013076|3802785485|9112383189|5223364665|1251436647,45.7932
eval_main_RI2_00209,RI2,fast,Greedy-Time-Base,1,,5,476.891018,87.799374,22462.988709,0.0,4.654724,84.243839,86.571201,86.571201,148,0,13169293708|1142052184|3801832172|3527889551|1141945388,36.0666
eval_main_RI2_00209,RI2,fast,Greedy-Time-SoftPenalty,1,,5,344.701475,69.02154,23642.671737,0.0,3.39432,35.786478,37.483638,37.483638,154,0,13169293708|1142052184|3801832172|3527889551|1141945388,33.5913
eval_main_RI2_00209,RI2,fast,Greedy-HazardAware,1,,5,344.701475,69.02154,23642.671737,0.0,3.39432,35.786478,37.483638,37.483638,154,0,13169293708|1142052184|3801832172|3527889551|1141945388,36.4457
eval_main_RI2_00209,RI2,fast,Macro-DP-Oracle,1,,5,326.846552,65.017024,21800.594561,0.0,3.39432,35.786478,37.483638,37.483638,142,0,13169293708|1142052184|3527889551|3801832172|1141945388,0.0433
eval_main_RI2_00209,RI2,fast,Macro-DQN,1,,5,338.564082,67.683144,23027.009855,0.0,3.39432,35.786478,37.483638,37.483638,133,0,13169293708|3527889551|1142052184|3801832172|1141945388,36.1076
eval_main_RI2_00210,RI2,fast,Greedy-Time-Base,1,,5,500.260518,86.16921,16152.848263,0.0,3.612693,115.363914,117.170261,117.170261,147,0,3530013051|3530273511|8789783714|3530598406|9110526978,32.3322
eval_main_RI2_00210,RI2,fast,Greedy-Time-SoftPenalty,1,,5,338.399094,64.290518,18558.062697,0.0,3.919607,50.293877,52.253681,52.253681,142,0,3530013051|3530273511|8789783714|3530598406|9110526978,34.6345
eval_main_RI2_00210,RI2,fast,Greedy-HazardAware,1,,5,338.399094,64.290518,18558.062697,0.0,3.919607,50.293877,52.253681,52.253681,142,0,3530013051|3530273511|8789783714|3530598406|9110526978,34.9587
eval_main_RI2_00210,RI2,fast,Macro-DP-Oracle,1,,5,335.697032,63.691687,18282.600316,0.0,3.919607,50.293877,52.253681,52.253681,137,0,3530273511|3530013051|8789783714|3530598406|9110526978,0.0445
eval_main_RI2_00210,RI2,fast,Macro-DQN,1,,5,335.697032,63.691687,18282.600316,0.0,3.919607,50.293877,52.253681,52.253681,137,0,3530273511|3530013051|8789783714|3530598406|9110526978,41.4247
eval_main_RI2_00211,RI2,fast,Greedy-Time-Base,1,,5,517.119711,99.597191,29888.164353,0.0,6.084095,71.078487,74.120535,74.120535,191,0,3802951754|6336759706|6437834073|8742479860|7891921893,44.6437
