ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI1,64.404448,44.310102,0.0,1.0,195.790571,43.906904,0.0,1.0,15.169152,53.445424,0.0,1.0,0.0,9.53852,0,1
RI2,546.494888,88.324932,52.394348,1.0,403.484741,77.953254,56.836145,1.0,2095.915033,99.910527,51.718484,1.0,-5.117661,21.957273,1,1
RI3,1362.045517,139.417169,145.232345,1.0,748.92005,135.343875,147.949927,1.0,5834.636404,148.752051,144.872483,1.0,-3.077444,13.408176,1,1
RI4,2666.336033,260.470146,286.731382,1.0,1425.312097,255.881114,290.489993,1.0,11532.568549,264.414171,286.596585,1.0,-3.893408,8.533057,1,1
RI5,3154.721042,370.593428,328.191278,1.0,1965.556353,368.879154,330.294283,1.0,13214.478891,372.639273,327.962505,1.0,-2.331778,3.760119,1,1
