ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI1,64.115061,44.104963,0.0,1.0,196.268678,44.013739,0.0,1.0,14.6215,51.71342,0.0,1.0,0.0,7.699681,0,1
RI2,546.372681,88.858483,52.282749,1.0,403.299941,77.867238,57.035785,1.0,2093.868602,99.617903,51.669407,1.0,-5.366378,21.750665,1,1
RI3,1360.933292,139.472919,145.082138,1.0,750.602927,135.78335,147.667287,1.0,5834.065132,147.37126,144.868148,1.0,-2.799139,11.58791,1,1
RI4,2671.841106,261.410191,287.250778,1.0,1428.916596,256.570104,291.034005,1.0,11549.083709,265.251054,287.003819,1.0,-4.030186,8.68095,1,1
RI5,3161.378122,371.863317,328.795599,1.0,1967.180907,369.226017,330.381474,1.0,13261.001162,374.125036,329.115711,1.0,-1.265763,4.899019,1,1
