ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,638.234735,98.194292,62.092012,1.0,453.536252,86.884307,67.257689,1.0,2479.39545,109.18771,61.24515,1.0,-6.012539,22.303403,1,1
RI3,1437.584864,146.982892,153.317509,1.0,786.855172,142.021961,156.268767,1.0,6172.350889,155.123158,153.274164,1.0,-2.994603,13.101197,1,1
RI4,2699.102506,262.041831,290.549517,1.0,1435.669296,257.405554,294.115554,1.0,11694.629789,265.055267,290.64483,1.0,-3.470724,7.649713,1,1
RI5,3300.052312,388.053331,343.240699,1.0,2053.767069,385.324879,345.615609,1.0,13822.9332,389.611776,343.064742,1.0,-2.550867,4.286897,1,1
