ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,566.100772,96.230411,51.776552,1.0,462.064785,81.369683,66.963276,1.0,2088.69189,100.979551,51.456328,1.0,-15.506948,19.609868,1,1
RI3,1294.741695,142.934296,133.821947,1.0,777.98922,130.134245,147.273788,1.0,5395.27101,150.993085,133.778777,1.0,-13.495011,20.85884,1,1
RI4,2980.474745,280.482073,317.843594,1.0,1648.701774,273.554419,324.522139,1.0,12802.140252,285.09464,318.034515,1.0,-6.487624,11.540221,1,1
RI5,3200.606294,369.241421,328.123857,1.0,2073.170535,359.177061,335.103215,1.0,13224.921527,376.621859,327.971952,1.0,-7.131263,17.444798,1,1
