ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,654.859587,102.02205,63.476598,1.0,445.318597,84.013689,71.780961,1.0,2510.908934,114.67611,61.994898,1.0,-9.786063,30.662421,1,1
RI3,1618.98058,157.386711,174.146117,1.0,837.314181,147.813942,181.243685,1.0,6997.594267,166.988294,173.829175,1.0,-7.41451,19.174352,1,1
RI4,2991.477375,283.333954,323.305878,1.0,1533.152659,272.083568,326.688106,1.0,12914.175658,286.20788,320.998763,1.0,-5.689343,14.124312,1,1
RI5,3597.397748,408.491371,376.786641,1.0,2152.041857,400.284723,377.805569,1.0,15206.982954,413.972146,377.513649,1.0,-0.29192,13.687423,1,1
