ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,638.617443,98.664335,62.05619,1.0,454.659227,87.138163,67.248404,1.0,2479.937831,109.832436,61.254231,1.0,-5.994173,22.694273,1,1
RI3,1437.505601,146.452238,153.404501,1.0,786.722631,142.062088,155.948981,1.0,6175.32402,154.808846,153.350754,1.0,-2.598227,12.746758,1,1
RI4,2698.025743,261.503929,290.511869,1.0,1439.847343,258.283293,294.390233,1.0,11717.075536,266.174062,291.198308,1.0,-3.191925,7.890769,1,1
RI5,3306.157963,388.843751,343.862663,1.0,2058.821169,386.273797,346.46084,1.0,13862.315137,391.740846,344.035292,1.0,-2.425548,5.467049,1,1
