ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,516.858284,89.129905,47.031064,1.0,454.224467,82.341815,54.327364,1.0,1907.305488,93.629166,46.979191,1.0,-7.348173,11.287351,1,1
RI3,1281.722771,140.724201,132.632302,1.0,783.40994,132.624335,140.553365,1.0,5341.588468,149.097096,132.451137,1.0,-8.102228,16.472761,1,1
RI4,2452.570632,238.050914,260.105808,1.0,1400.731508,235.005426,262.891643,1.0,10463.115757,241.540094,259.862003,1.0,-3.02964,6.534668,1,1
RI5,3052.317974,356.104998,312.13659,1.0,2009.893851,350.166991,315.273678,1.0,12577.248623,359.888636,311.896431,1.0,-3.377247,9.721645,1,1
