ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,651.625871,103.757723,62.758076,1.0,444.23594,83.89134,71.241358,1.0,2513.519472,115.663062,62.052672,1.0,-9.188686,31.771722,1,1
RI3,1619.464106,157.526986,174.179823,1.0,835.241152,147.484666,180.633728,1.0,6996.235301,166.980888,173.795447,1.0,-6.838281,19.496222,1,1
RI4,2980.95937,282.824663,322.081701,1.0,1531.654824,271.771583,326.576172,1.0,12931.338159,286.284611,321.427045,1.0,-5.149127,14.513028,1,1
RI5,3580.839236,406.495298,375.073221,1.0,2152.141642,400.222662,378.193305,1.0,15140.185336,410.516692,375.866188,1.0,-2.327117,10.29403,1,1
