ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI1,64.208109,44.170515,0.0,1.0,195.760203,43.899716,0.0,1.0,14.575258,51.519766,0.0,1.0,0.0,7.62005,0,1
RI2,546.724052,88.762714,52.343328,1.0,403.019967,77.867194,56.755206,1.0,2092.986195,98.665272,51.654028,1.0,-5.101178,20.798078,1,1
RI3,1362.03438,139.706642,145.177944,1.0,749.36291,135.364121,148.309156,1.0,5839.98527,148.415007,145.008755,1.0,-3.300401,13.050886,1,1
RI4,2665.493343,260.622371,286.598359,1.0,1425.841955,255.994151,290.517238,1.0,11529.006431,264.533028,286.506712,1.0,-4.010526,8.538877,1,1
RI5,3152.949535,370.872767,327.918376,1.0,1961.0156,368.054719,329.412598,1.0,13230.706326,372.865211,328.366674,1.0,-1.045924,4.810492,1,1
