profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
balanced,RI1,Greedy-HazardAware,300,1.0,5.0,67.448434,46.392043,23196.021568,0.0,0.0,0.0,0.0,0.0,140.84,0.0,51.451445
balanced,RI1,Greedy-Time-Base,300,1.0,5.0,67.501492,46.402692,23201.345868,0.0,0.0,0.0,0.0,0.0,144.63,0.0,48.008391
balanced,RI1,Greedy-Time-SoftPenalty,300,1.0,5.0,67.501492,46.402692,23201.345868,0.0,0.0,0.0,0.0,0.0,144.63,0.0,47.847539
balanced,RI1,Macro-DP-Oracle,300,1.0,5.0,63.418624,43.630667,21815.333497,0.0,0.0,0.0,0.0,0.0,130.946667,0.0,0.051952
balanced,RI1,Macro-DQN,300,1.0,5.0,64.208109,44.170515,22085.257394,0.0,0.0,0.0,0.0,0.0,133.046667,0.0,54.236815
balanced,RI2,Greedy-HazardAware,300,1.0,5.0,559.223653,92.235739,30832.167552,53.277492,53.277492,0.0,5.3471,50.603942,170.423333,0.0,49.768172
balanced,RI2,Greedy-Time-Base,300,1.0,5.0,1139.278657,103.55517,22410.096286,123.804962,123.804962,0.0,5.368399,121.120763,142.603333,0.0,47.821238
balanced,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,588.448059,80.517193,24700.783857,59.042325,59.042325,0.0,3.82585,57.1294,149.156667,0.0,52.510983
balanced,RI2,Macro-DP-Oracle,300,1.0,5.0,542.775765,85.694264,28095.962474,52.406938,52.406938,0.0,4.931181,49.941348,153.27,0.0,0.053626
balanced,RI2,Macro-DQN,300,1.0,5.0,546.724052,88.762714,29475.590825,52.343328,52.343328,0.0,5.114295,49.786181,162.186667,0.0,51.875435
balanced,RI3,Greedy-HazardAware,300,1.0,5.0,1388.23149,143.950906,27988.550871,147.687424,147.687424,2.898781,4.602351,143.936858,181.5,0.0,43.729182
balanced,RI3,Greedy-Time-Base,300,1.0,5.0,2348.307495,180.590332,21840.33276,261.229269,261.229269,2.022024,6.490113,256.9732,139.926667,0.0,43.471757
balanced,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,1431.544176,139.797003,25442.806522,153.863627,153.863627,2.498972,4.612628,150.307827,163.123333,0.0,43.009886
balanced,RI3,Macro-DP-Oracle,300,1.0,5.0,1355.203822,136.909278,26013.029321,144.831662,144.831662,2.451155,4.496344,141.357912,165.733333,0.0,0.049137
balanced,RI3,Macro-DQN,300,1.0,5.0,1362.03438,139.706642,26939.861863,145.177944,145.177944,2.637892,4.524061,141.596967,173.553333,0.0,44.713235
balanced,RI4,Greedy-HazardAware,300,1.0,5.0,2775.681717,273.31569,28451.295805,298.101643,298.101643,2.328891,6.993687,293.440354,179.803333,0.0,45.999365
balanced,RI4,Greedy-Time-Base,300,1.0,5.0,3876.811579,334.682618,22714.547202,424.868776,424.868776,2.656932,7.872818,419.603902,143.373333,0.0,44.485002
balanced,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,2782.809922,266.221515,26928.726227,300.270223,300.270223,1.988201,7.058953,295.746646,167.63,0.0,45.496266
balanced,RI4,Macro-DP-Oracle,300,1.0,5.0,2652.844935,257.606864,26517.11447,285.561037,285.561037,2.029038,6.782964,281.155036,164.793333,0.0,0.049745
