profile,rows,label_mean,label_std,best_val_mse,best_epoch,model_path,pretrain_model_path,offline_ddqn_enabled,offline_ddqn_use_dp_anchor,offline_ddqn_td_epochs,offline_ddqn_seconds,online_ddqn_enabled,online_ddqn_init_mode,online_ddqn_epochs,online_ddqn_seconds,seconds
fast,412500,668.3624877929688,664.4882202148438,0.0016903486102819443,7,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\FINAL Thesis Code\macro_DQN_ddqn\artifacts\final_macro_dqn_v2_25yr_adjusted_s500_e300_with_cohorts_online_ddqn_light_pretrain\models\macro_dqn_fast.pt,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\FINAL Thesis Code\macro_DQN_ddqn\artifacts\final_macro_dqn_v2_25yr_adjusted_s500_e300_with_cohorts_online_ddqn_light_pretrain\models\macro_dqn_fast_pretrain.pt,0,0,0,0.0,1,light_pretrain,10,13200.504511800013,13724.671288600075
balanced,412500,1109.070556640625,1240.3946533203125,0.0019689106848090887,4,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\FINAL Thesis Code\macro_DQN_ddqn\artifacts\final_macro_dqn_v2_25yr_adjusted_s500_e300_with_cohorts_online_ddqn_light_pretrain\models\macro_dqn_balanced.pt,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\FINAL Thesis Code\macro_DQN_ddqn\artifacts\final_macro_dqn_v2_25yr_adjusted_s500_e300_with_cohorts_online_ddqn_light_pretrain\models\macro_dqn_balanced_pretrain.pt,0,0,0,0.0,1,light_pretrain,10,17102.084800099954,17692.182120200014
safe,412500,4667.42138671875,5397.9326171875,0.0013797588180750608,8,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\FINAL Thesis Code\macro_DQN_ddqn\artifacts\final_macro_dqn_v2_25yr_adjusted_s500_e300_with_cohorts_online_ddqn_light_pretrain\models\macro_dqn_safe.pt,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\FINAL Thesis Code\macro_DQN_ddqn\artifacts\final_macro_dqn_v2_25yr_adjusted_s500_e300_with_cohorts_online_ddqn_light_pretrain\models\macro_dqn_safe_pretrain.pt,0,0,0,0.0,1,light_pretrain,10,8926.475527999923,9329.732790599926
