ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI1,64.581232,44.427523,0.0,1.0,196.310113,44.02378,0.0,1.0,15.133015,53.487162,0.0,1.0,0.0,9.463382,0,1
RI2,547.448145,88.983085,52.394185,1.0,402.79429,77.667098,57.420999,1.0,2096.672456,99.540786,51.740647,1.0,-5.680352,21.873688,1,1
RI3,1361.920101,139.840659,145.138524,1.0,748.975824,135.354358,147.95914,1.0,5838.770335,148.652216,144.97666,1.0,-2.98248,13.297858,1,1
RI4,2672.308867,261.554993,287.282869,1.0,1426.854095,256.120494,290.968372,1.0,11560.65531,266.033439,287.287734,1.0,-3.680638,9.912945,1,1
RI5,3162.998236,372.019874,328.969676,1.0,1963.686205,368.473979,330.21668,1.0,13246.126669,373.783948,328.746045,1.0,-1.470635,5.309969,1,1
