profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
fast,RI4,Greedy-Time-SoftPenalty,100,1.0,5.0,1643.123802,292.609895,27113.123669,345.581872,345.581872,2.12407,7.646337,340.696668,165.14,0.0,31.029328
fast,RI4,Macro-DP-Oracle,100,1.0,5.0,1516.356084,268.587259,24176.479485,325.430246,325.430246,1.736635,7.271009,320.926424,142.51,0.0,0.037827
fast,RI4,Macro-DQN,100,1.0,5.0,1536.72581,272.735187,25002.407092,327.373512,327.373512,1.796221,7.393451,322.778676,148.15,0.0,39.968128
fast,RI5,Greedy-HazardAware,100,1.0,5.0,2321.553373,433.499814,29158.261915,399.94968,399.94968,2.503658,8.441821,394.476941,174.96,0.0,33.320917
fast,RI5,Greedy-Time-Base,100,1.0,5.0,2432.280954,446.875192,21580.496794,451.928906,451.928906,2.425245,8.204323,446.614123,126.2,0.0,30.849011
fast,RI5,Greedy-Time-SoftPenalty,100,1.0,5.0,2309.292343,430.094639,28273.155237,402.836853,402.836853,2.352377,8.494824,397.413253,168.2,0.0,32.732694
fast,RI5,Macro-DP-Oracle,100,1.0,5.0,2131.711726,396.242249,24637.981574,375.42427,375.42427,2.18562,7.665326,370.498797,143.71,0.0,0.038079
fast,RI5,Macro-DQN,100,1.0,5.0,2170.201585,403.782907,25342.978298,380.46368,380.46368,2.257387,7.787155,375.441409,149.2,0.0,35.307562
safe,RI2,Greedy-HazardAware,100,1.0,5.0,2607.604902,122.241935,41999.097697,64.360802,64.360802,0.0,7.315209,60.703198,223.7,0.0,35.642767
safe,RI2,Greedy-Time-Base,100,1.0,5.0,4426.327614,97.203585,22186.581213,110.007362,110.007362,0.0,5.208594,107.403065,143.38,0.0,34.464848
safe,RI2,Greedy-Time-SoftPenalty,100,1.0,5.0,2950.653362,86.824027,24804.411807,73.178304,73.178304,0.0,4.089086,71.133761,154.86,0.0,31.113967
safe,RI2,Macro-DP-Oracle,100,1.0,5.0,2503.003242,109.62378,36882.45488,61.833063,61.833063,0.0,6.490594,58.587766,193.82,0.0,0.041744
safe,RI2,Macro-DQN,100,1.0,5.0,2511.90379,114.031334,38846.066323,62.023919,62.023919,0.0,6.600348,58.723744,208.91,0.0,34.359499
safe,RI3,Greedy-HazardAware,100,1.0,5.0,7360.814641,181.173339,36918.020895,182.812951,182.812951,2.689877,5.608452,178.663786,244.7,0.0,34.974909
safe,RI3,Greedy-Time-Base,100,1.0,5.0,9185.297797,160.853652,20500.716579,228.58385,228.58385,1.71914,5.77359,224.837485,123.65,0.0,28.741637
safe,RI3,Greedy-Time-SoftPenalty,100,1.0,5.0,7647.955706,157.424503,25994.339264,190.162766,190.162766,2.363976,5.338741,186.311408,160.56,0.0,31.413066
safe,RI3,Macro-DP-Oracle,100,1.0,5.0,6974.196058,157.59056,29708.714224,173.310779,173.310779,1.892635,5.129498,169.799713,188.34,0.0,0.039873
safe,RI3,Macro-DQN,100,1.0,5.0,6993.796404,165.795451,32661.879789,173.742615,173.742615,2.288022,5.242158,169.977525,213.39,0.0,34.333121
safe,RI4,Greedy-HazardAware,100,1.0,5.0,14211.590296,327.874504,34380.316412,353.15929,353.15929,3.026011,7.972073,347.660247,224.34,0.0,39.320629
safe,RI4,Greedy-Time-Base,100,1.0,5.0,15868.742638,302.979819,21422.913809,394.768918,394.768918,1.893482,7.791555,389.9264,131.07,0.0,29.438422
safe,RI4,Greedy-Time-SoftPenalty,100,1.0,5.0,13898.977163,292.609895,27113.123669,345.581872,345.581872,2.12407,7.646337,340.696668,165.14,0.0,30.883034
safe,RI4,Macro-DP-Oracle,100,1.0,5.0,12800.789832,280.854132,27496.321832,318.200339,318.200339,2.25002,7.198659,313.476,170.04,0.0,0.038133
safe,RI4,Macro-DQN,100,1.0,5.0,12959.71452,287.470273,28829.436803,322.12879,322.12879,2.32192,7.347121,317.29427,181.27,0.0,33.796526
safe,RI5,Greedy-HazardAware,100,1.0,5.0,16674.031082,468.545879,33797.010491,413.834058,413.834058,3.055003,8.759985,407.926564,209.37,0.0,32.18736
safe,RI5,Greedy-Time-Base,100,1.0,5.0,18191.509119,446.875192,21580.496794,451.928906,451.928906,2.425245,8.204323,446.614123,126.2,0.0,29.014137
safe,RI5,Greedy-Time-SoftPenalty,100,1.0,5.0,16224.000321,430.094639,28273.155237,402.836853,402.836853,2.352377,8.494824,397.413253,168.2,0.0,35.901301
safe,RI5,Macro-DP-Oracle,100,1.0,5.0,14988.043045,401.6206,26004.728836,372.121215,372.121215,2.383367,7.535089,367.161986,155.62,0.0,0.037354
safe,RI5,Macro-DQN,100,1.0,5.0,15232.906763,414.69617,27811.897054,378.157209,378.157209,2.538009,7.778827,372.998791,167.11,0.0,33.337607
