ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,650.461196,103.413917,62.676293,1.0,444.676453,83.988618,71.244153,1.0,2511.90379,114.031334,62.023919,1.0,-9.220234,30.042716,1,1
RI3,1616.589904,156.785951,173.95647,1.0,836.94712,148.088289,179.631014,1.0,6993.796404,165.795451,173.742615,1.0,-5.888399,17.707162,1,1
RI4,2981.868502,283.555321,322.063154,1.0,1536.72581,272.735187,327.373512,1.0,12959.71452,287.470273,322.12879,1.0,-5.244722,14.735086,1,1
RI5,3577.432678,405.542004,374.819767,1.0,2170.201585,403.782907,380.46368,1.0,15232.906763,414.69617,378.157209,1.0,-2.306471,10.913263,1,1
