ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,649.413028,100.755861,63.023872,1.0,444.944408,84.066229,71.165387,1.0,2512.312232,114.857797,62.028221,1.0,-9.137166,30.791568,1,1
RI3,1618.248428,156.986236,174.126421,1.0,834.270578,147.293466,180.50973,1.0,7001.427675,168.16169,173.916931,1.0,-6.592799,20.868224,1,1
RI4,2985.775292,283.37867,322.583674,1.0,1532.682735,271.937429,326.871894,1.0,12919.088815,286.036886,321.122849,1.0,-5.749045,14.099457,1,1
RI5,3589.052189,406.780845,376.050767,1.0,2151.293966,399.923114,378.679545,1.0,15139.453376,409.651688,375.853955,1.0,-2.82559,9.728574,1,1
