ri_key,balanced_objective,balanced_time,balanced_common_risk,balanced_success_rate,fast_objective,fast_time,fast_common_risk,fast_success_rate,safe_objective,safe_time,safe_common_risk,safe_success_rate,safe_minus_fast_common_risk,safe_minus_fast_time,safe_lower_common_risk_than_fast,fast_faster_than_safe
RI2,637.893387,97.840915,62.112969,1.0,453.444285,86.863388,67.258101,1.0,2479.523662,109.180237,61.24843,1.0,-6.009671,22.316849,1,1
RI3,1437.472678,146.943126,153.310416,1.0,786.996771,142.058433,156.245876,1.0,6172.240158,155.183835,153.270967,1.0,-2.974909,13.125402,1,1
RI4,2698.936358,261.85206,290.562891,1.0,1435.473711,257.392769,293.971392,1.0,11694.521854,265.031716,290.642244,1.0,-3.329148,7.638947,1,1
RI5,3300.117232,388.14359,343.232704,1.0,2054.693914,385.545535,345.559927,1.0,13823.137065,389.489268,343.07063,1.0,-2.489297,3.943733,1,1
